Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","15,657.40","15,749.25","15,619.45","15,699.25","142.60","0.92","2,196.00","18,259.58","18,604.45","15,183.40","0.08","-2.64"
"M&M","1,036.90","1,074.50","1,031.60","1,072.50","44.80","4.36","72.73","770.07","1,074.50","671.15","37.16","13.27"
"HEROMOTOCO","2,715.00","2,767.70","2,690.20","2,750.00","75.90","2.84","13.55","371.27","2,995.00","2,146.85","-6.09","4.29"
"INDUSINDBK","793.95","815.85","792.50","806.55","21.60","2.75","47.06","379.29","1,242.00","763.20","-19.31","-10.18"
"BAJFINANCE","5,510.00","5,616.65","5,455.00","5,581.00","132.85","2.44","13.05","723.68","8,050.00","5,220.00","-7.22","-3.76"
"HINDUNILVR","2,265.00","2,318.80","2,260.05","2,302.80","50.20","2.23","19.30","443.49","2,859.30","1,901.55","-7.16","-0.30"
"ICICIBANK","710.90","715.25","706.55","714.25","15.10","2.16","108.57","772.39","867.00","623.45","14.33","0.86"
"BRITANNIA","3,429.00","3,504.95","3,429.00","3,475.20","63.75","1.87","3.01","104.72","4,153.00","3,050.00","-5.03","0.14"
"EICHERMOT","2,837.85","2,909.55","2,831.95","2,870.00","50.95","1.81","10.79","309.49","2,994.00","2,159.55","5.18","5.54"
"JSWSTEEL","561.70","572.90","560.25","568.30","9.35","1.67","34.06","193.23","790.00","520.05","-14.61","5.30"
"ONGC","137.00","141.00","135.20","136.95","2.15","1.59","254.62","348.90","194.95","108.50","11.03","-9.09"
"TATACONSUM","722.00","735.00","720.10","729.90","11.45","1.59","10.13","73.81","889.00","650.20","-3.69","2.06"
"BHARTIARTL","662.10","675.70","662.10","670.40","10.20","1.54","56.21","377.39","781.80","514.85","25.53","-1.15"
"HDFCBANK","1,338.55","1,361.65","1,338.55","1,355.00","19.85","1.49","40.07","542.88","1,725.00","1,271.60","-8.78","2.73"
"ADANIPORTS","683.00","687.95","677.10","685.30","10.00","1.48","27.41","187.25","924.65","651.95","-4.65","-8.89"
"HINDALCO","321.70","324.95","316.60","322.25","4.65","1.46","116.21","373.63","636.00","308.95","-12.46","-19.60"
"NESTLEIND","16,950.05","17,250.00","16,922.05","17,222.90","246.60","1.45","0.30","52.15","20,609.15","16,000.00","-1.10","0.21"
"RELIANCE","2,480.00","2,511.00","2,468.00","2,497.55","32.60","1.32","65.72","1,637.69","2,856.15","2,016.25","13.25","-4.52"
"TATASTEEL","850.00","864.75","844.65","851.80","10.50","1.25","85.43","728.95","1,534.50","827.00","-22.57","-15.36"
"UPL","633.00","645.25","631.05","640.25","7.05","1.11","19.02","121.81","852.40","607.50","-20.37","-19.22"
"ULTRACEMCO","5,450.00","5,510.00","5,435.20","5,470.00","59.70","1.10","2.66","145.52","8,269.00","5,157.05","-20.76","-6.78"
"HDFC","2,160.10","2,201.00","2,158.05","2,187.95","23.75","1.10","30.76","671.92","3,021.10","2,026.00","-12.38","-0.85"
"MARUTI","8,310.00","8,390.00","8,238.30","8,360.00","89.00","1.08","11.57","961.19","9,050.00","6,536.55","12.48","7.14"
"BAJAJ-AUTO","3,800.80","3,841.35","3,781.95","3,824.50","39.70","1.05","5.59","212.90","4,259.65","3,027.05","-8.91","1.09"
"KOTAKBANK","1,700.00","1,714.90","1,690.15","1,701.00","16.90","1.00","16.18","275.15","2,253.00","1,626.00","-2.06","-9.65"
"SHREECEM","18,600.00","18,937.40","18,561.45","18,710.70","177.10","0.96","0.30","56.93","31,469.95","17,865.20","-35.18","-13.57"
"AXISBANK","634.35","642.45","631.65","634.00","4.65","0.74","69.19","439.23","866.90","618.25","-13.43","-4.53"
"SBIN","455.80","460.35","453.20","454.55","3.15","0.70","108.33","493.96","549.00","401.25","8.52","-1.62"
"HDFCLIFE","558.15","565.30","558.15","561.10","3.00","0.54","10.22","57.38","775.65","497.05","-21.83","1.48"
"TATAMOTORS","410.00","412.85","406.15","408.75","1.55","0.38","148.06","606.59","536.70","268.45","21.92","-3.99"
"GRASIM","1,320.45","1,340.00","1,311.25","1,320.20","4.15","0.32","7.59","100.51","1,929.80","1,276.60","-11.91","-5.88"
"SBILIFE","1,072.10","1,092.90","1,072.10","1,077.00","3.15","0.29","4.92","53.17","1,293.25","991.40","7.64","0.34"
"BAJAJFINSV","11,660.00","11,685.95","11,430.00","11,585.55","32.70","0.28","3.66","423.94","19,325.00","11,265.05","-5.67","-6.25"
"DRREDDY","4,322.00","4,372.55","4,292.00","4,306.00","11.10","0.26","3.04","131.13","5,614.60","3,654.00","-18.74","-0.95"
"LT","1,501.75","1,512.00","1,489.00","1,498.00","3.70","0.25","17.31","259.58","2,078.55","1,456.35","1.27","-7.89"
"DIVISLAB","3,665.90","3,699.95","3,638.30","3,675.00","8.70","0.24","3.46","126.82","5,425.10","3,365.55","-13.01","0.36"
"TITAN","2,053.55","2,076.40","2,033.95","2,046.15","4.75","0.23","8.55","174.92","2,768.00","1,662.50","14.79","-4.40"
"POWERGRID","212.00","212.00","207.75","209.00","0.45","0.22","71.24","148.96","248.35","167.15","-10.01","-7.93"
"ITC","266.10","268.35","265.20","266.00","0.50","0.19","70.13","186.80","282.35","200.90","30.42","-1.79"
"ASIANPAINT","2,775.00","2,784.80","2,726.00","2,760.00","1.80","0.07","22.16","608.93","3,590.00","2,560.00","-7.61","-10.59"
"CIPLA","933.00","943.50","930.00","933.00","-0.35","-0.04","7.23","67.67","1,083.00","850.00","-2.58","-3.85"
"WIPRO","421.00","426.00","415.75","418.65","-0.40","-0.10","76.81","321.81","739.85","402.05","-22.49","-8.98"
"SUNPHARMA","827.90","833.80","821.50","823.25","-1.65","-0.20","14.05","115.96","967.05","661.50","23.75","-9.52"
"COALINDIA","178.65","180.40","174.80","176.75","-0.40","-0.23","81.71","144.71","209.00","132.75","19.06","-3.07"
"BPCL","308.20","310.45","305.40","307.10","-0.80","-0.26","32.75","101.02","503.00","293.35","-34.60","-6.97"
"HCLTECH","984.00","984.55","960.00","967.85","-3.40","-0.35","19.22","186.16","1,377.75","944.05","-0.52","-2.41"
"TCS","3,339.00","3,345.00","3,277.50","3,295.05","-13.75","-0.42","21.32","703.89","4,043.00","3,023.85","1.03","0.21"
"NTPC","137.90","137.90","134.95","135.70","-0.80","-0.59","218.79","297.38","166.35","111.95","15.74","-7.62"
"APOLLOHOSP","3,902.00","3,922.00","3,762.00","3,824.00","-26.50","-0.69","10.25","392.91","5,935.40","3,141.75","17.85","5.30"
"INFY","1,458.00","1,467.50","1,428.90","1,441.30","-11.15","-0.77","61.14","881.72","1,953.90","1,367.15","-4.11","0.02"
"TECHM","1,001.00","1,001.00","974.00","980.75","-10.35","-1.04","40.57","398.73","1,838.00","943.70","-7.17","-10.71"

